name,mapyourshow_detail_url,company_website,description,location,phone,email,linkedin_company_page,raw_contacts_text,booth_number,size,revenue,industry
General Formulations,https://isasignexpo2025.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?=572,https://www.signexpo.org/,"(GF) is a global manufacturer of pressure-sensitive print media headquartered in the USA, since 1953. GF offers a cross-platform portfolio of print and cut film and laminate solutions, which include rolls for wide format and sheets for narrow format digital printers, as well as offset print technologies, for windows, walls, and floors, point of purchase, outdoor, vehicle, fleet and transit applications, and more. GF prides itself on experienced technical research & development and exceptional customer service. For more information on , visit www.generalformulations.com.",,,,,"Company Information Contact Us About General Formulations Product Categories Consumables - Adhesives Consumables - Laminates Consumables - Substrates Rigid Consumables - Substrates Roll to Roll Consumables - Vinyl (self-adhesive, banner, etc.) Printers - Roll-to-Roll Printers - Screen Printing Printers - UV Software - Graphic Design Trade Specific Products - ADA Signage/Architectural Signage Collateral Special Offers",,,,
Gildo Profilati,https://isasignexpo2025.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?=3457,https://www.signexpo.org/,"is a family-owned Italian leading company with over 50 years of trim caps manufacturing experience. Gildotrim caps are flexible&durable extruded profiles, made of top quality raw materials as prime aluminium foil and a special polymeric resin. Our products meet all requirements for preventing delamination, shrinkage, scratches and fading over time. Available in a variety of sizes (J/F/arrow types) and 36 color combinations. Easy to form and bend especially round the corners. Customised colour matching is available upon customer's wishes. To learn more about GildoTrim visit gildotrim.com",,,,,Company Information Contact Us About Gildo Profilati Product Categories Production Equipment - Channel Letter Forming Equipment Trade Specific Products - ADA Signage/Architectural Signage,,,,
Laguna Tools Inc.,https://isasignexpo2025.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?=1803,https://www.signexpo.org/,"For over four decades, Laguna Tools has been a pioneer in the machinery industry, delivering innovative solutions that empower artisans, craftsmen, and businesses to achieve unparalleled precision and efficiency. Founded in 1983, Laguna Tools has consistently pushed the boundaries of technology, ensuring that our customers have access to state-of-the-art equipment designed to meet the evolving demands of various industries. A Legacy of Innovation Laguna Tools' journey began with a commitment to revolutionizing machinery solutions. Over the years, this dedication to innovation has expanded to encompass a diverse range of machinery, including CNC routers, CO2 lasers, fiber lasers, plasma cutters, and more. Our products are meticulously engineered to provide superior performance, reliability, and versatility, catering to both small businesses and large-scale industrial operations. Sign Making Expertise One of the standout applications of Laguna Tools' machinery is in the sign-making industry. Recognizing the unique challenges faced by sign makers, we have developed a suite of equipment specifically tailored to meet the intricate demands of this craft. Precision CNC Routers Our CNC routers are renowned for their precision and adaptability, making them indispensable tools for sign makers. Models such as the SmartShop® Series are equipped with robust features, including high-speed spindles and advanced control systems, enabling users to execute intricate designs with ease. These routers can handle a variety of materials commonly used in sign making, such as wood, acrylic, plastics, and non-ferrous metals, ensuring that artisans can bring their creative visions to life with impeccable accuracy. Versatile CO2 Lasers Laguna Tools' CO2 laser cutters offer unparalleled versatility for sign makers. These machines are capable of cutting, engraving, and etching a wide array of materials, including acrylic, wood, leather, and certain plastics. The precision of our CO2 lasers allows for the creation of detailed graphics, text, and intricate patterns, making them ideal for producing high-quality, custom signage that stands out in any setting. Comprehensive Tooling Kits Understanding that the right tools are essential for optimal results, Laguna Tools offers specialized tooling kits designed for sign making. Our Sign Maker Tooling Kit includes a selection of router bits and accessories specifically chosen to enhance the capabilities of our CNC routers. This kit ensures that users have everything they need to tackle a wide range of sign-making projects, from simple cutouts to complex 3D carvings. Customer-Centric Approach At Laguna Tools, our commitment to customer satisfaction extends beyond providing top-tier machinery. We offer comprehensive support services, including maintenance programs, warranty registration, and blade resharpening services, ensuring that our customers' equipment remains in optimal condition. Our knowledgeable support staff is always ready to assist with any questions or challenges, fostering a community of innovation and excellence. Experience the Laguna Difference Whether you're a seasoned professional or just beginning your journey in sign making, Laguna Tools provides the equipment, support, and expertise to help you succeed. Explore our range of CNC machines, laser cutters, and specialized tooling kits to discover how we can elevate your craft and bring your creative visions to life.",,,,,"Company Information Contact Us About Laguna Tools Inc. Product Categories Consumables - Fabric & Textiles Consumables - Substrates Rigid Consumables - Vinyl (self-adhesive, banner, etc.) Production Equipment - Channel Letter Forming Equipment Production Equipment - Laser Cutters/Engravers Production Equipment - Routers Services - Training and Education Trade Specific Products - ADA Signage/Architectural Signage Trade Specific Products - Plaques/Engraving",,,,
Principal Industries,https://isasignexpo2025.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?=622,https://www.signexpo.org/,"is a leading provider of electrical components, services, and software to the signage and architectural lighting industry, serving a diverse range of commercial end users, including retail, petroleum, quick-serve restaurants, banking, and automotive.",,,,,,,,,
Signage Details,https://isasignexpo2025.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?=4990,https://www.signexpo.org/,"Subscribe today for unlimited access to proven, industry-standard, permit-ready section details for fabricating and installing commercial signs. With our exclusive, patent-pending, intuitive Select-A-Sign tool, you can seamlessly design and integrate comprehensive details into your plans in as little as 60 seconds—no matter which design software you use. Beyond wall signs, our details extend to monument signs, featuring interior cabinet framing, saddle connections to steel pipes, and preliminary footing details. We also offer a variety of additional resources, such as field survey sheets, permit drawing templates, blocking details, and more.",,,,,Company Information Contact Us About Signage Details Product Categories Services - Coaching/Consulting Services - Engineering Services - Installation Services - Permitting Software - Graphic Design Software - Workflow Trade Specific Products - ADA Signage/Architectural Signage Collateral Special Offers,,,,
3M Commercial Solutions,https://isasignexpo2025.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?=1092,https://www.signexpo.org/,"3M Commercial Graphics helps customers worldwide build brands by providing total large-format graphics and light management solutions. 3M manufactures or certifies lighting solutions, graphic films and graphic protection, flexible substrates as well as inks and toners used to create large-format finished graphics that are consistent, reliable, and durable. Follow @3Mfilms on your favorite social media platforms to stay connected with the 3M Graphics Community.",,,,,,,,,
4Ever Products,https://isasignexpo2025.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?=1462,https://www.signexpo.org/,The sign industry's leader in Vinyl & Aluminum sign frames. Our products include: - Post & Panel Frames - Architectural Frames - Ornamental/Decorative Street Sign Systems - Real Estate Posts and More...,,,,,,,,,
A.R.K. Ramos Foundry & Mfg. Co.,https://isasignexpo2025.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?=1108,https://www.signexpo.org/,"A.R.K. Ramos manufactures cast and etched aluminum, brass, and bronze plaques. We also produce cast letters, cut graphics, and reverse channel letters in a variety of metals including aluminum, brass, bronze, and stainless steel. We have been serving the international sign market for 76 years.",,,,,Company Information Contact Us About A.R.K. Ramos Foundry & Mfg. Co. Product Categories Trade Specific Products - ADA Signage/Architectural Signage Trade Specific Products - Plaques/Engraving Trade Specific Products - Wholesale Fabrication Collateral,,,,
Aludecor,https://isasignexpo2025.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?=5170,https://www.signexpo.org/,"India's leading manufacturer of Metal Composite Panels, has been a trendsetter in bringing and creating unique product offerings for the past 20 years. Headquartered in Kolkata, has remained a premium ACP sheet manufacturer in India, synonymous with trust and reliability. Metal Composite Panel is the preferred choice of Architects, Facade consultants, and Space Designers along with other valued patrons of the Industry. With a passion for innovation, has maintained its stature in the Indian ACP Manufacturing Industry as a Thought Leader. The Company’s end-to-end Metal Composite Panel Manufacturing portfolio is powered by a 500+ strong retail network. A presence in more than 250 cities and world-class Manufacturing Units spread across 37500 square meters in Haridwar empowers to keep on introducing breakthrough products that have been creating benchmarks in the market for the past 20 years. Serving more than 200+ customers including Govt. & Corporates like Indian Railways, IOCL, BPCL, Tata Steels, Kia Motors, Maruti Suzuki to name a few",,,,,"Company Information Contact Us About Aludecor Product Categories Consumables - Laminates Consumables - Vinyl (self-adhesive, banner, etc.) Printers - 3D Printers - Screen Printing Production Equipment - Laser Cutters/Engravers Software - Graphic Design Trade Specific Products - ADA Signage/Architectural Signage Trade Specific Products - Digital/LED Signs Trade Specific Products - Pre-Fabricated Signs Collateral",,,,
"Anhui Angran Green Technology Co.,Ltd.",https://isasignexpo2025.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?=5211,https://www.signexpo.org/,"Anhui Angran Green Technology Co., Ltd. is a global leader in self-luminous safety signs and identification products. The company holds over 40 utility model patents, more than 10 invention patents, and a 'CCC' certificate for fire safety products. It's a national high-tech enterprise with the Hefei Municipal Industrial Design Center title, AAA credit ratings, and certifications for quality and environmental management. Since 2016, Angran has expanded into international markets, exporting to the US, Canada, New Zealand, Australia, Norway, Japan, Germany, the UK, and Saudi Arabia, offering comprehensive services from consultation and product development to maintenance.",,,,,"Company Information Contact Us About Anhui Angran Green Technology Co.,Ltd. Product Categories Consumables - Adhesives Consumables - Ink Consumables - Lighting Consumables - Vinyl (self-adhesive, banner, etc.) Printers - Screen Printing Printers - UV Trade Specific Products - ADA Signage/Architectural Signage Trade Specific Products - Pre-Fabricated Signs Trade Specific Products - Wholesale Fabrication",,,,
